,ch,py,en
1550,截,jie2,a section/cut off (a length)
1551,燃,ran2,burn/combustion
1552,焦,jiao1,burnt/scorched/worried/anxious
1553,殿,dian4,palace hall
1554,伪,wei3,false/fake/forged/bogus
1555,柳,liu3,willow/Liu (a surname)
1556,锁,suo3,to lock up/to lock
1557,逼,bi1,"close to/compel, force/compel/drive/press for/extort/press on towards/press up to/close in on/close"
1558,颇,po1,quite/rather/uneven/sloping
1559,昏,hun1,muddle-headed/twilight/to faint/to lose consciousness
1560,劝,quan4,to advise/to urge/to try to persuade/exhort
1561,呈,cheng2,to assume (a form)/to submit/to petition/to show/to present/to offer
1562,搜,sou1,to search
1563,勤,qin2,diligent/frequent
1564,戒,jie4,swear off/warn against
1565,驾,jia4,to drive/to draw/to harness/to mount
1566,漂,piao1/piao3/piao4,"to float/to drift, to bleach, elegant/polished"
1567,饮,yin3,drink
1568,曹,cao2,a company/a class/a generation/(a surname)
1569,朵,duo3,M for flowers
1570,仔,zi1/zi3/zai3,"duty/responsibility, minutely/young"
1571,柔,rou2,soft
1572,俩,lia3/liang3,"(a numeral-measure word) two/both, craft/cunning"
1573,孟,meng4,first month/eldest brother/(surname)
1574,腐,fu3,decay/rotten
1575,幼,you4,young
1576,践,jian4,fulfill (a promise)/tread/walk
1577,籍,ji2,(surname)/record/register/native place
1578,牧,mu4,shepherd
1579,凉,liang2,cool/cold
1580,牲,sheng1,domestic animal
1581,佳,jia1,excellent
1582,娜,nuo2/na4,elegant/graceful
1583,浓,nong2,concentrated/dense
1584,芳,fang1,fragrant
1585,稿,gao3,manuscript/draft/stalk of grain
1586,竹,zhu2,bamboo
1587,腹,fu4,abdomen/stomach/belly
1588,跌,die1,to drop/to fall/to tumble
1589,逻,luo2,logic/patrol
1590,垂,chui2,to hang (down)/droop/dangle/bend down/hand down/bequeath/nearly/almost/to approach
1591,遵,zun1,to observe/to obey/to follow
1592,脉,mai4,mountain range/pulse
1593,貌,mao4,appearance
1594,柏,bai3/bo4,"(surname)/cedar/cypress, cypress/cedar"
1595,狱,yu4,prison
1596,猜,cai1,to guess
1597,怜,lian2,to pity
1598,惑,huo4,confuse
1599,陶,tao2,"pottery, (surname)/pleased/pottery"
1600,兽,shou4,beast/quadruped
1601,帐,zhang4,account/mosquito net/tent/curtain/debt/credit
1602,饰,shi4,adorn/ornaments
1603,贷,dai4,lend on interest/borrow/loan/make excuses/pardon/forgive
1604,昌,chang1,prosperous/flourish
1605,叙,xu4,narrate/abbreviation for Syria
1606,躺,tang3,to recline/to lie down
1607,钢,gang1,steel
1608,沟,gou1,ditch/gutter
1609,寄,ji4,lodge at/to mail/to send/to entrust/to depend
1610,扶,fu2,to support with hand/to help sb. up/to help
1611,铺,pu1/pu4,"to spread, a store, a bed/a store"
1612,邓,deng4,Deng (Xiaoping)
1613,寿,shou4,(long) life
1614,惧,ju4,to fear
1615,询,xun2,inquire
1616,汤,tang1,(surname)/soup
1617,盗,dao4,steal/rob/plunder/a thief/bandit/robber
1618,肥,fei2,loose-fitting/fat/fertile
1619,尝,chang2,"indicator of past tense/to taste/flavor/already/ever/once/test/already/formerly, to taste"
1620,匆,cong1,hurried/hasty
1621,辉,hui1,bright/glorious
1622,奈,nai4,how can one help
1623,扣,kou4,"10 percent/button/detain, button"
1624,廷,ting2,palace courtyard
1625,澳,ao4,Australia/deep bay/cove/bay/harbor/(abbrev) Macao
1626,嘛,ma,(a modal particle)
1627,董,dong3,(surname)/supervise/to direct/director
1628,迁,qian1,to move/to shift
1629,凝,ning2,congeal/concentrate attention
1630,慰,wei4,reassure
1631,厌,yan4,loathe
1632,脏,zang1/zang4,"dirty/filthy, viscera"
1633,腾,teng2,to soar/to gallop/to rise/to prance/to hover/to move out
1634,幽,you1,quiet/secluded
1635,怨,yuan4,blame/complain
1636,鞋,xie2,shoe
1637,丢,diu1,to lose/to put aside/to throw
1638,埋,mai2/man2,"bury, to blame"
1639,泉,quan2,fountain/spring
1640,涌,yong3,bubble up/rush forth
1641,辖,xia2,have jurisdiction over
1642,躲,duo3,avoid/get out of way/to hide/to go into hiding
1643,晋,jin4,name of a dynasty
1644,紫,zi3,purple
1645,艰,jian1,difficult/hard/hardship
1646,魏,wei4,(surname)/name of a dynasty
1647,吾,wu2,I/my
1648,慌,huang1,nervous
1649,祝,zhu4,invoke/pray to/wish/to express good wishes
1650,邮,you2,post (office)/mail
1651,吐,tu3/tu4,"to spit, vomit"
1652,狠,hen3,fierce/very
1653,鉴,jian4,example/mirror/to view/reflection/to reflect/to inspect/to warn/(ancient bronze mirror)
1654,曰,yue1,to speak/to say
1655,械,xie4,tools
1656,咬,yao3,bite/nip
1657,邻,lin2,neighbor/adjacent/close to
1658,赤,chi4,red/scarlet/bare/naked
1659,挤,ji3,crowded/to squeeze
1660,弯,wan1,bend/bent
1661,椅,yi3,chair
1662,陪,pei2,to accompany/to keep sb. company
1663,割,ge1,cut off
1664,揭,jie1,lift off (a cover)/divulge
1665,韦,wei2,(surname)/soft leather
1666,悟,wu4,comprehend
1667,聪,cong1,quick at hearing/wise/clever/sharp-witted/intelligent/acute
1668,雾,wu4,fog/mist
1669,锋,feng1,point or edge of a tool
1670,梯,ti1,ladder
1671,猫,mao1,cat/pussy
1672,祥,xiang2,auspicious/propitious
1673,阔,kuo4,rich/wide/broad
1674,誉,yu4,reputation
1675,筹,chou2,a tally/counter/ticket/plan/devise/manage
1676,丛,cong2,cluster/collection/collection of books/thicket
1677,牵,qian1,lead along
1678,鸣,ming2,to cry (of birds)
1679,沈,chen2/shen3,"sink, (surname)/place name"
1680,阁,ge2,council-chamber/shelf
1681,穆,mu4,(surname)/solemn
1682,屈,qu1,bent/feel wronged
1683,旨,zhi3,imperial decree/purport/aim/purpose
1684,袖,xiu4,sleeve
1685,猎,lie4,hunting
1686,臂,bi4,arm
1687,蛇,she2,snake/serpent
1688,贺,he4,congratulate
1689,柱,zhu4,pillar
1690,抛,pao1,to throw/to toss/to fling/to cast/to abandon
1691,鼠,shu3,rat/mouse
1692,瑟,se4,(mus. instr.)
1693,戈,ge1,(surname)/spear
1694,牢,lao2,firm/fast
1695,逊,xun4,to yield
1696,迈,mai4,take a step
1697,欺,qi1,take unfair advantage of/to deceive/to cheat
1698,吨,dun1/dun4,"ton, ton"
1699,琴,qin2,(mus. instr.)
1700,衰,cui1/shuai1,"mourning garments, weak/feeble/decline/wane"
1701,瓶,ping2,bottle/(a measure word)/vase/pitcher
1702,恼,nao3,get mad
1703,燕,yan1/yan4,"(surname)/place name, swallow (a type of bird)"
1704,仲,zhong4,2nd in seniority
1705,诱,you4,entice/tempt
1706,狼,lang2,wolf
1707,池,chi2,pond/reservoir
1708,疼,teng2,(it) hurts/love fondly/ache/pain/sore
1709,卢,lu2,(surname)
1710,仗,zhang4,battle
1711,冠,guan1/guan4,"hat/crown/crest/cap, to head"
1712,粒,li4,a grain/a granule
1713,遥,yao2,distant/remote/far/far away
1714,吕,lu:3/lv3,(surname)
1715,玄,xuan2,black/mysterious
1716,尘,chen2,dust/dirt/earth
1717,抚,fu3,to comfort/touch gently with hand
1718,浅,jian1/qian3,"sound of moving water, shallow"
1719,敦,dun1,"kind-hearted, kind-hearted/place name"
1720,纠,jiu1,gather together/to investigate/to entangle/correct
1721,钻,zuan1/zuan4,"enter (a hole)/probe, an auger/diamond"
1722,晶,jing1,crystal
1723,岂,qi3,how can it be that
1724,峡,xia2,gorge
1725,苍,cang1,dark blue/fly/musca/deep green
1726,喷,pen1/pen4,"to puff/to spout/to spray/to spurt, fragrant/sneeze"
1727,耗,hao4,mouse/new/to waste/to spend/to consume/to squander
1728,凌,ling2,encroach/soar/thick ice
1729,敲,qiao1,extort/knock/to strike/to knock (at a door)/to hit
1730,菌,jun1/jun4,"germ/bacteria, bacteria/mold/mushroom"
1731,赔,pei2,lose in trade/pay damage
1732,涂,tu2,"to smear/daub, (surname)/to smear/daub/to apply (paint)/to spread"
1733,粹,cui4,pure/unmixed/essence
1734,扁,bian3/pian1,"flat/tablet/inscription, (surname)/small boat, Polygonum aviculare"
1735,亏,kui1,deficiency/deficit
1736,寂,ji4,lonesome
1737,煤,mei2,coal
1738,熊,xiong2,bear/to scold/to rebuke
1739,恭,gong1,respectful
1740,湿,shi1,moist/wet
1741,循,xun2,to follow/to adhere to/to abide by
1742,暖,nuan3,warm
1743,糖,tang2,sugar/sweets/candy
1744,赋,fu4,poetic essay/taxation/bestow on/endow with
1745,抑,yi4,to restrain/to restrict/to keep down/or
1746,秩,zhi4,order/orderliness
1747,帽,mao4,hat/cap
1748,哀,ai1,sorrow/grief/pity/to grieve for/to pity/to lament
1749,宿,su4/xiu3/xiu4,"lodge for the night/old/former, (a) night, constellation"
1750,踏,ta4,step on
1751,烂,lan4,overcooked/rotten/soft
1752,袁,yuan2,(surname)
1753,侯,hou2,marquis
1754,抖,dou3,shake out/tremble
1755,夹,jia1/jia2,"clip/folder/hold between/to press from both sides/to place in between, hold between/lined/narrow lane"
1756,昆,kun1,"Kunlun mountains, descendant/elder brother"
1757,肝,gan1,liver
1758,擦,ca1,to wipe/to erase/rubbing (brush stroke in painting)/to clean/to polish
1759,猪,zhu1,hog/pig/swine
1760,炼,lian4,"refine/smelt, refine"
1761,恒,heng2,permanent
1762,慎,shen4,cautious
1763,搬,ban1,remove/transport/move/shift
1764,纽,niu3,to turn/to wrench/button
1765,纹,wen2,line/trace/mark
1766,玻,bo1,glass
1767,渔,yu2,fisherman/to fish
1768,磁,ci2,magnetic/magnetism/porcelain
1769,铜,tong2,copper
1770,齿,chi3,tooth
1771,跨,kua4,step across/step astride
1772,押,ya1,detain in custody
1773,怖,bu4,terror/terrified/afraid/frightened
1774,漠,mo4,desert/unconcerned
1775,疲,pi2,weary
1776,叛,pan4,to betray/to rebel/to revolt
1777,遣,qian3,dispatch
1778,兹,zi1,herewith
1779,祭,ji4/zhai4,"offer sacrifice, (surname)"
1780,醉,zui4,intoxicated
1781,拳,quan2,fist
1782,弥,mi2,"full/to fill, overflowing"
1783,斜,xie2,slanting
1784,档,dang4,cross-piece/official records/grade (of goods)/file/records/shelves
1785,稀,xi1,diluted/sparse
1786,捷,jie2,victory/triumph/quick/prompt/rapid
1787,肤,fu1,skin
1788,疫,yi4,epidemic/plague
1789,肿,zhong3,swollen
1790,豆,dou4,"bean/peas, bean/sacrificial vessel"
1791,削,xiao1/xue1,"to scrape, to reduce/to pare (away)/to cut (down)"
1792,岗,gang3,mound/policeman's beat
1793,晃,huang3/huang4,"dazzle, sway/to shade"
1794,吞,tun1,to swallow/to take
1795,宏,hong2,spacious
1796,癌,ai2/yan2,"cancer, cancer (old pronuniation)/carcinoma"
1797,肚,du3/du4,"tripe, belly"
1798,隶,li4,attached to/scribe
1799,履,lu:3/lv3,shoe/to tread on
1800,涨,zhang3/zhang4,"to rise (of prices, rivers), to swell/distend"
1801,耀,yao4,brilliant/glorious
1802,扭,niu3,to turn/to twist/to grab/to wring
1803,坛,tan2,altar
1804,拨,bo1,to push aside/to appropriate (money)/to move/to set aside/group/batch/to poke/to stir
1805,沃,wo4,fertile/rich
1806,绘,hui4,to draw/to paint
1807,伐,fa2,(v) cut down; fell/(v) dispatch an expedition against; descend upon
1808,堪,kan1,endure
1809,仆,pu1/pu2,"fall prostrate, servant"
1810,郭,guo1,(surname)/outer city wall
1811,牺,xi1,sacrifice
1812,歼,jian1,annihilate
1813,墓,mu4,tomb
1814,雇,gu4,hire
1815,廉,lian2,incorrupt/inexpensive
1816,契,qi4,contract
1817,拼,pin1,piece together/stake (all)/spell/join together
1818,惩,cheng2,punish/discipline
1819,捉,zhuo1,to clutch/to grab/to capture
1820,覆,fu4,to cover/to overflow/to reply to a letter/to overturn/to capsize
1821,刷,shua1/shua4,"brush, to select"
1822,劫,jie2,plunder
1823,嫌,xian2,to dislike/to suspect
1824,瓜,gua1,melon/claw/gourd/squash
1825,歇,xie1,to rest
1826,雕,diao1,"engrave, engrave/shrewd, golden eagle"
1827,闷,men1/men4,"smother/stuffy, melancholy"
1828,乳,ru3,breast/milk
1829,串,chuan4,to string together/to mix up/to conspire/to connect/(a measure word)/string
1830,娃,wa2,baby/doll
1831,缴,jiao3,hand in/hand over
1832,唤,huan4,to call
1833,赢,ying2,to beat/to win/to profit
1834,莲,lian2,lotus
1835,霸,ba4,feudal chief/rule by force/tyrant/lord/master/hegemon/usurp
1836,桃,tao2,peach
1837,妥,tuo3,secure/sound
1838,瘦,shou4,tight/thin/lean
1839,搭,da1,"build (scaffolding)/take (boat, train)/hang/join/match/take passage"
1840,赴,fu4,"go towards/go to/attend (a banquet, etc.)/to go"
1841,岳,yue4,"(surname)/mountain/wife's father, mountain"
1842,嘉,jia1,excellent
1843,舱,cang1,cabin/the hold of a ship or airplane
1844,俊,jun4,smart/eminent/handsome/talented
1845,址,zhi3,location/site
1846,庞,pang2,(surname)/huge/enormous/tremendous
1847,耕,geng1,to plow/to till
1848,锐,rui4,acute
1849,缝,feng2/feng4,"to sew/to stitch, crack/seam"
1850,悔,hui3,regret
1851,邀,yao1,invite to come
1852,玲,ling2,(used in compounds)/tinkling of gem-pendants
1853,惟,wei2,-ism/only
1854,斥,chi4,blame/reprove/reprimand
1855,宅,zhai2,residence
1856,添,tian1,to add/to increase/to replenish
1857,挖,wa1,to dig/to excavate/to scoop out
1858,呵,a1/he1,"(phonetic particle), expel breath/my goodness"
1859,讼,song4,litigation
1860,氧,yang3,oxygen
1861,浩,hao4,grand/vast (water)
1862,羽,yu3,feather
1863,斤,jin1,catty/weight equal to 0.5 kg
1864,酷,ku4,"ruthless/strong (as of wine)/(slang loan from English) cool, great"
1865,掠,lue4/lue3,plunder
1866,妖,yao1,goblin/witch/devil/bewitching/enchanting/monster/phantom
1867,祸,huo4,disaster
1868,侍,shi4,attend on
1869,乙,yi3,"""B"" (in a sequence of examples involving ""A"", ""B"", ""C"", etc.)/2nd heavenly stem/2nd in order"
1870,妨,fang2,hinder/harm
1871,贪,tan1,greedy
1872,挣,zheng1/zheng4,"struggle, to earn/to make (money)"
1873,汪,wang1,(surname)/expanse of water/ooze
1874,尿,sui1/niao4,urinate/urine
1875,莉,li4,jasmine
1876,悬,xuan2,hang/suspend
1877,唇,chun2,lip
1878,翰,han4,pen
1879,仓,cang1,barn/granary/storehouse/cabin/hold (in ship)
1880,轨,gui3,course/path/track/rail
1881,枚,mei2,M for small objects
1882,盐,yan2,salt
1883,览,lan3,look over/to view
1884,傅,fu4,(surname)/tutor
1885,帅,shuai4,handsome/graceful/smart/commander in chief
1886,庙,miao4,temple/monastery
1887,芬,fen1,fragrant
1888,屏,bing3/ping2,"get rid of/put aside/reject/keep control/hold back, (standing) screen"
1889,寺,si4,Buddhist temple
1890,胖,pang4,fat/plump
1891,璃,li2,colored glaze/glass
1892,愚,yu2,stupid
1893,滴,di1,a drop/to drip
1894,疏,shu1,negligent/sparse/thin
1895,萧,xiao1,mournful
1896,姿,zi1,beauty/disposition/looks/appearance
1897,颤,zhan4/chan4,to tremble/to shiver/to shake/to vibrate
1898,丑,chou3,"2nd Earthly Branch/clown/Chou (surname), shameful/ugly/disgraceful"
1899,劣,lie4,inferior
1900,柯,ke1,(surname)/handle of axe/stem
1901,寸,cun4,a unit of length/inch/thumb
1902,扔,reng1,throw
1903,盯,ding1,stare/gaze
1904,辱,ru3,disgrace/insult
1905,匹,pi1/pi3,"mate/one of a pair, (measure word for horses, mules, a bolt of cloth)/ordinary person"
1906,俱,ju1/ju4,"entirely/without exception, a social club"
1907,辨,bian4,distinguish/recognize
1908,饿,e4,to be hungry/hungry
1909,蜂,feng1,bee/wasp
1910,哦,e2/o2/o4,"to chant, oh is that so"
1911,腔,qiang1,cavity of body/tune
1912,郁,yu4,"(surname)/elegant, dense (growth)/melancholy"
1913,溃,kui4,be dispersed/break down
1914,谨,jin3,cautious
1915,糟,zao1,"dregs/to waste/spoil, to waste/spoil"
1916,葛,ge2/ge3,"coarse grass linen, (surname)"
1917,苗,miao2,(surname)/Miao tribe/sprout
1918,肠,chang2,intestines
1919,忌,ji4,avoid as taboo/jealous
1920,溜,liu1,slip away/to skate
1921,鸿,hong2,eastern bean goose/great/large
1922,爵,jue2,nobility/(ancient wine holder with 3 legs and loop handle)
1923,鹏,peng2,large fabulous bird
1924,鹰,ying1,eagle/falcon/hawk
1925,笼,long2,basket/cage
1926,丘,qiu1,"Confucius/given name/mound, earthenware, earthenware vessel"
1927,桂,gui4,Cinnamonum cassia
1928,滋,zi1,excite/nourish/this
1929,聊,liao2,to chat/to have a chat/to kill time
1930,挡,dang3/dang4,"hinder/resist/obstruct/hinder/cover/keep off/a cover/to block/to get in the way of, arrange/put in order"
1931,纲,gang1,head rope of a fishing net/guiding principle/key link/class (taxonomy)/outline/program
1932,肌,ji1,flesh/muscle
1933,茨,ci2,Tribulus terrestris/thatched hut
1934,壳,ke2/qiao4,"shell, shell"
1935,痕,hen2,scar/traces
1936,碗,wan3,bowl/cup
1937,穴,xue2,hole/cave
1938,膀,bang3/bang4/pang1/pang2,"upper arm/wing, to flirt, puffed (swollen), bladder"
1939,卓,zhuo2,(surname)/outstanding
1940,贤,xian2,worthy (person)
1941,卧,wo4,to lie/to crouch
1942,膜,mo2,(n) membrane; film
1943,毅,yi4,perseverance
1944,锦,jin3,brocade/embroidered work/bright
1945,欠,qian4,deficient/owe/to lack/yawn
1946,哩,li1/li3/li,"(onomat.), mile, (part. for continued state)"
1947,函,han2,envelope/case/letter
1948,茫,mang2,vague/vast
1949,昂,ang2,"high/raise (head), high/soaring/raise/lift/expensive/to raise one's head"
1950,薛,xue1,(surname)/wormwood
1951,皱,zhou4,to wrinkle/wrinkled/to crease
1952,夸,kua1,to boast
1953,豫,yu4,beforehand/prepare
1954,胃,wei4,stomach
1955,舌,she2,tongue
1956,剥,bo1/bao1,peel/to skin
1957,傲,ao4,proud/overbearing/insolent/arrogant
1958,拾,shi2,pick up/ten (fraud-proof)
1959,窝,wo1,nest
1960,睁,zheng1,to open (eye)
1961,携,xie2,to carry/to take along/to bring along/to hold (hands)
1962,陵,ling2,mound/tomb/hill/mountain
1963,哼,heng1/hng,"hum, (interj. of contempt)"
1964,棉,mian2,cotton
1965,晴,qing2,clear/fine (weather)
1966,铃,ling2,(small) bell
1967,填,tian2,to fill in
1968,饲,si4,to raise/to rear/to feed
1969,渴,ke3,thirsty
1970,吻,wen3,kiss/mouth
1971,扮,ban4,to disguise oneself/to dress up/adorn
1972,逆,ni4,contrary/opposite/backwards/to go against/to oppose/to betray/to rebel
1973,脆,cui4,crisp/brittle/clear and loud voice
1974,喘,chuan3,to gasp/to pant/asthma
1975,罩,zhao4,cover/fish trap (basket)/shade
1976,卜,bo/bu3,"turnip, to divine/foretell"
1977,炉,lu2,stove
1978,柴,chai2,(surname)/firewood
1979,愉,yu2,pleased
1980,绳,sheng2,rope
1981,胎,tai1,fetus/litter
1982,蓄,xu4,to store
1983,眠,mian2,sleep
1984,竭,jie2,exhaust
1985,喂,wei4,"(interjection) hello/to feed (someone or some animal)/hey/telephone greeting, to feed"
1986,傻,sha3,foolish
1987,慕,mu4,admire
1988,浑,hun2,muddy
1989,奸,jian1,"traitor, adultery"
1990,扇,shan1/shan4,"to fan, (a measure word for doors, windows, etc.)"
1991,柜,gui4/ju3,"cupboard/cabinet/wardrobe, Salix multinervis"
1992,悦,yue4,pleased
1993,拦,lan2,cut off/hinder
1994,诞,dan4,birth/birthday/brag/boast/to increase
1995,饱,bao3,to eat till full/satisfied
1996,乾,gan1/qian2,"dry, (surname)/male/strong/one of the Eight Trigrams"
1997,泡,pao1/pao4,"puffed/swollen, to steep/soak/bubble(s)/foam"
1998,贼,zei2,thief
1999,亭,ting2,pavilion
2000,夕,xi1/xi4,"evening, dusk"
2001,爹,die1,dad
2002,酬,chou2,entertain/repay/return/reward/compensate
2003,儒,ru2,scholar/Confucian
2004,姻,yin1,marriage connections
2005,卵,luan3,ovum
2006,氛,fen1,miasma/vapor
2007,泄,xie4,divulge/leak out
2008,杆,gan1/gan3,"pole, measure for guns, stick/pole"
2009,挨,ai1/ai2,"lean to/in order/in sequence, next to/suffer (hunger)/endure/drag out/delay/stall/play for time"
2010,僧,seng1,monk
2011,蜜,mi4,honey
2012,吟,yin2,moan/to hum
2013,猩,xing1,ape
2014,遂,sui4/sui2,forthwith
2015,狭,xia2,narrow/narrow-minded
2016,肖,xiao4/xiao1,similar/resembling/to resemble/to be like
2017,甜,tian2,sweet
2018,霞,xia2,red clouds
2019,驳,bo2,"argue/parti-colored/tranship/dispute/contradict/refute, argue/parti-colored/tranship"
2020,裕,yu4,abundant
2021,顽,wan2,mischievous/obstinate/to play/stupid/stubborn/naughty
2022,於,yu1/yu2,(surname)
2023,摘,zhai1,"to borrow/to pick (flowers, fruit)/to pluck/to take/to select"
